Model,TBS2102B
Firmware Version,v1.32.139

Point Format,Y,
2.595e+01,8.2,0.1
2.598e+01,8.2,0.1
2.602e+01,8.2,0.1
2.605e+01,8.2,0.3
2.608e+01,8.2,0.1
2.611e+01,8.2,0.3
2.614e+01,8.6,0.3
2.618e+01,8.6,0.3
2.621e+01,8.6,0.1
2.624e+01,8.6,0.1
2.627e+01,8.6,0.1
2.630e+01,9,0.1
2.634e+01,8.6,0.3
2.637e+01,9,0.1
2.640e+01,9,0.3
2.643e+01,9.4,0.1
2.646e+01,9,0.1
2.650e+01,9,0.3
2.653e+01,9,0.3
2.656e+01,9.4,0.3
2.659e+01,9.4,0.1
2.662e+01,9.4,0.1
2.666e+01,9.4,0.3
2.669e+01,9.4,0.3
2.672e+01,9.4,0.1
2.675e+01,9.8,0.1
2.678e+01,9.8,0.3
2.682e+01,10.2,0.1
2.685e+01,9.4,0.1
2.688e+01,9.4,0.3
2.691e+01,8.6,0.3
2.694e+01,8.6,0.1
2.698e+01,7.8,0.1
2.701e+01,7.8,0.1
2.704e+01,7.4,0.3
2.707e+01,6.6,0.1
2.710e+01,6.2,-0.0999998
2.714e+01,5.8,0.3
2.717e+01,5.4,0.1
2.720e+01,5,0.1
2.723e+01,4.2,0.3
2.726e+01,3.8,0.1
2.730e+01,3.4,0.1
2.733e+01,3,0.1
2.736e+01,2.6,0.1
2.739e+01,2.2,0.1
2.742e+01,1.8,0.1
2.746e+01,1.4,0.1
2.749e+01,1,0.1
2.752e+01,0.6,0.1
2.755e+01,0.2,-0.0999998
2.758e+01,-0.2,0.1
2.762e+01,-0.2,0.1
2.765e+01,-0.2,0.1
2.768e+01,0.2,0.3
2.771e+01,-0.2,0.3
2.774e+01,0.2,0.1
2.778e+01,0.2,0.3
2.781e+01,0.2,0.1
2.784e+01,0.2,0.3
2.787e+01,0.2,0.3
2.790e+01,0.6,0.1
2.794e+01,0.6,0.1
2.797e+01,0.6,0.1
2.800e+01,0.6,0.3
2.803e+01,0.6,0.1
2.806e+01,0.6,0.3
2.810e+01,1,0.3
2.813e+01,1,0.1
2.816e+01,1,0.3
2.819e+01,1,0.1
2.822e+01,1,0.3
2.826e+01,1,0.3
2.829e+01,1.4,0.3
2.832e+01,1.4,0.3
2.835e+01,1.4,0.1
2.838e+01,1.8,0.1
2.842e+01,1.4,0.3
2.845e+01,1.4,0.3
2.848e+01,1.4,0.1
2.851e+01,1.8,0.3
2.854e+01,1.4,0.3
2.858e+01,1.8,0.1
2.861e+01,2.2,0.1
2.864e+01,1.8,0.1
2.867e+01,1.8,0.1
2.870e+01,2.2,0.3
2.874e+01,2.2,0.1
2.877e+01,2.2,0.3
2.880e+01,2.2,0.1
2.883e+01,2.2,0.3
2.886e+01,2.6,0.3
2.890e+01,2.2,0.3
2.893e+01,2.6,0.1
2.896e+01,2.6,0.1
2.899e+01,3,0.3
2.902e+01,2.6,0.3
2.906e+01,2.6,0.1
2.909e+01,2.6,0.1
2.912e+01,2.6,0.3
2.915e+01,3,0.1
2.918e+01,3,0.1
2.922e+01,3,0.3
2.925e+01,3.4,0.3
2.928e+01,3,0.3
2.931e+01,3.4,0.3
2.934e+01,3.4,0.1
2.938e+01,3.4,0.1
2.941e+01,3.4,0.3
2.944e+01,3.4,0.3
2.947e+01,3.4,0.1
2.950e+01,3.4,0.3
2.954e+01,3.4,0.3
2.957e+01,3.8,0.3
2.960e+01,3.8,0.1
2.963e+01,3.8,0.1
2.966e+01,3.8,0.3
2.970e+01,3.8,0.1
2.973e+01,3.8,0.1
2.976e+01,4.2,0.3
2.979e+01,4.2,0.1
2.982e+01,4.2,0.1
2.986e+01,4.2,0.1
2.989e+01,4.2,0.3
2.992e+01,4.2,0.1
2.995e+01,4.6,0.1
2.998e+01,4.6,0.1
3.002e+01,4.2,0.1
3.005e+01,4.6,0.3
3.008e+01,4.6,0.3
3.011e+01,4.6,0.3
3.014e+01,4.6,0.3
3.018e+01,5,0.1
3.021e+01,5,0.3
3.024e+01,5,0.1
3.027e+01,5,0.1
3.030e+01,5,0.3
3.034e+01,5,0.1
3.037e+01,5,0.1
3.040e+01,5,0.3
3.043e+01,5.4,0.1
3.046e+01,5.4,0.1
3.050e+01,5.4,0.1
3.053e+01,5.4,0.1
3.056e+01,5.4,0.3
3.059e+01,5.8,0.1
3.062e+01,5.8,0.1
3.066e+01,6.2,0.1
3.069e+01,5.8,0.3
3.072e+01,5.8,0.1
3.075e+01,5.8,0.3
3.078e+01,5.8,0.3
3.082e+01,5.8,0.3
3.085e+01,6.2,0.3
3.088e+01,6.2,0.1
3.091e+01,6.2,0.3
3.094e+01,6.2,0.1
3.098e+01,6.2,0.1
3.101e+01,6.2,0.1
3.104e+01,6.6,0.1
3.107e+01,6.6,0.1
3.110e+01,6.6,0.3
3.114e+01,6.6,0.3
3.117e+01,6.6,0.3
3.120e+01,6.6,0.3
3.123e+01,6.6,0.3
3.126e+01,7,0.1
3.130e+01,7,0.1
3.133e+01,7,0.1
3.136e+01,7.4,0.1
3.139e+01,7,0.1
3.142e+01,7.4,0.3
3.146e+01,7,0.3
3.149e+01,7.4,0.3
3.152e+01,7.4,0.1
3.155e+01,7.4,0.1
3.158e+01,7.4,0.1
3.162e+01,7.4,0.1
3.165e+01,7.4,0.3
3.168e+01,7.8,0.1
3.171e+01,7.4,0.3
3.174e+01,7.8,0.1
3.178e+01,7.8,0.1
3.181e+01,7.8,0.1
3.184e+01,7.8,0.3
3.187e+01,7.8,0.1
3.190e+01,8.2,0.3
3.194e+01,8.2,0.1
3.197e+01,8.6,0.3

